id,text,created_at
1601547276924616705,Helping in the community promotes a sense of belonging and benefits our personal and collective #MentalHealth. Reach out to members of the community who may need some help during the #COVID19 pandemic. https://t.co/7YnvtfJFlo,2022-12-10T12:00:00.000Z
1601546837499908096,A look at how Xi Jinping leads China’s COVID-19 fight in 10 storiesRead more: https://t.co/BI8efdHi3i#China  #COVID19 https://t.co/IcxVYweMKh,2022-12-10T11:58:16.000Z
1601546016439914496,The #G20 presidency gives #India a chance to shape the agenda for global cooperation as the world emerges from the shadows of the #COVID19 pandemic. Harsh V Pant &amp; @SameerP_IND write. #G20India https://t.co/Wq9lPaXetw,2022-12-10T11:55:00.000Z
1601545872818733057,"Automaker #Stellantis plans to suspend work at a #Jeep-making factory in the #US, due to difficulties such as the #COVID19 pandemic and cost burdens.#Forbes https://t.co/ODYqwdNBmw https://t.co/FPKN2Fbnqk",2022-12-10T11:54:26.000Z
1601540774398951425,"Updated vaccines are now available for vaccinated people to help protect against both the original virus and the Omicron variant.For more information, go to https://t.co/aTVe6pzxBT.#UNITEDSIKHS #covidvaccinebooster #COVID19 #covidvacccination #boosterdose #vaccineboosterdose https://t.co/StQeZ4cLf4",2022-12-10T11:34:10.000Z
1601539745770721280,Daily #COVID19 statistics. https://t.co/HswLYXY0N3,2022-12-10T11:30:05.000Z
1601533052232306688,"Moving to living with covid not easy for any country, but as I report in @spectator it’s especially dangerous for #China, ill-prepared after fanatical zero-Covid &amp; with mass Chinese New Year migration approaching #COVID19 @BirlinnBooks @andrewlownie https://t.co/YflKL5QgIp",2022-12-10T11:03:29.000Z
1601524625581559809,"If you're older and/or have one of the comorbidities for #Covid19, then you should definitely be lining up for your next dose of a vaccine, regardless. Follow a ‘no-regrets’ policy: @thePHFI's Dr K. Srinath Reddy. Read more in our #interview https://t.co/JDDhAWgwV7",2022-12-10T10:30:00.000Z
1601524375483654144,#China reports rebound in railway passenger trips amid easing #COVID19 restrictionshttps://t.co/1t6c9XpnbR https://t.co/KMKQTWtGcu,2022-12-10T10:29:00.000Z
1601521449109688321,"#China said on Saturday it would stop checking truck drivers and ship crew transporting goods domestically for #COVID19, removing a key bottleneck from its supply chain network as a dismantling of the country's zero-COVID policy gathers speed.Read more: https://t.co/5HxPcRgncB",2022-12-10T10:17:22.000Z
1601520953397317634,"Paulina Chiwangu, UN Women Country Representative in Uganda: The #COVID19 climate-related disasters, rising instability and severe economic shocks have created unprecedented challenges for decision-makers. #16Days #HumanRightsDay2022 #NBSUpdates https://t.co/v1beg7lqGA",2022-12-10T10:15:24.000Z
1601517447852576773,A free exhibition which documents the impact of #COVID19 from the viewpoint of social work staff in #WestSussex is on now.Some of our social work staff have contributed to the Forgotten Frontline exhibition at @chiuni Find out more at https://t.co/o2qMmj42d6,2022-12-10T10:01:28.000Z
1601517263089172481,"Are you or your child aged 12+ and want to get your #Covid19 vaccines? Then visit Hounslow West Shopping Parade (TW4 7HW) or Hounslow Jamia Masjid and Islamic Centre (367 Wellington Road South, Hounslow, TW4 5HU) today until 4pm.More information: https://t.co/mav7KQZGkX https://t.co/AiqQVtjmGQ",2022-12-10T10:00:44.000Z
1601517076195250179,DDC expresses concerns that more Covid-19 patients have been reported after the Omicron subvariant BA.2.75 has become dominant in Thailand.See more: https://t.co/eDxXIw1X1x#Thailand #Thai #Covid19 #Omicron #Newyear #Holiday #Publichealth #ประเทศไทย #ไทย #โควิด19 #โอไมครอน,2022-12-10T10:00:00.000Z
1601513552434577408,"Saturday reading - NFER's Lisa Kuhn discusses recently published research, which reviewed the current evidence on the impact of #Covid19 on young people’s mental health and wellbeing: https://t.co/5u90H9vIyJ https://t.co/BnLmxJerbI",2022-12-10T09:46:00.000Z
1601512455686868992,"A variety of essential health services in India slowed down during the #Covid19 pandemic, resulting in a fall in measles vaccination rates and the current outbreak, @thePHFI's K. Srinath Reddy explains. Watch our special interview: https://t.co/aqhVCQKs4p",2022-12-10T09:41:38.000Z
1601507452788568065,More Australians have died of #covid19 in the past 3 1/2 weeks than Australian servicemen and servicewomen died fighting the Vietnam War in 13 years.,2022-12-10T09:21:45.000Z
1601506461334777859,Did you check with your doctors and test for #COVID19?The symptoms that I am reading on people's timelines are Covid-19- like. https://t.co/rGGQGSN5eN,2022-12-10T09:17:49.000Z
1601502045449633794,"Because of👧🏾 social isolation 💲 financial pressure from #COVID19, 13 million additional cases of #ChildMarriage are likely by 2030 unless we take action. Canada is working with partners to #EndCEFM. #GirlsNotBrides. https://t.co/IKR7hFPk46",2022-12-10T09:00:16.000Z
1601501976348561409,"#Chinese authorities said they are cracking down on price gouging of medical supplies and drugs, and seeking to ensure they flow smoothly as fears grow of a massive #COVID19 outbreak after the nationwide dismantling of strict restrictions.https://t.co/FxJIeaHv6z",2022-12-10T09:00:00.000Z
1601499459543875585,"#MiddayNews |#Mumbai: ‘Thanks to #BMC, I fed my family in the pandemic’Via: Suraj Pandey#Covid19 #Covid #Corona #CoronaVirus #CovidPandemic #MumbaiNews https://t.co/cwomZQxhI9",2022-12-10T08:50:00.000Z
1601499449859055618,Big effort @BRxAD &amp; co looking at impact of #COVID19 on #AMR.Heterogeneity in many factors but possibly some increase in Gram negative resistance seen overall. @CMIJournalhttps://t.co/hVmSaL1Dbs https://t.co/vCLMC0OgUY,2022-12-10T08:49:57.000Z
1601498201055531009,"Some health officials are warning about a ""Tridemic"" this winter season. It is a triple threat of #COVID19, Influenza and Respiratory Syncytial Virus or RSV. Watch video!https://t.co/RJAzh07J8y",2022-12-10T08:45:00.000Z
1601494990588301312,"In the Chinese city of #Wuhan, the epicenter of the #COVID19 outbreak nearly three years ago, residents cautiously greeted a relaxation of lockdown measures by authorities this weekhttps://t.co/MLNCqu886q",2022-12-10T08:32:14.000Z
1601494428371279872,"Residents in Beijing and Shanxi Province went shopping for necessities in the second week of December. As China keeps optimizing the #COVID19 response, negative PCR COVID-19 tests, health codes and upon-arrival tests will not be required for most public venues. #SeeingisBelieving https://t.co/cSxoq5hInL",2022-12-10T08:30:00.000Z
1601493976770809856,"Due to hazardous weather conditions the #COVID19 clinic in #Aviemore today (9am-3pm) has been cancelled.We apologise for the short notice, and advise that people do not travel in hazardous weather. We are working to re-arrange appointments for everyone affected. https://t.co/srpO1gCcY2",2022-12-10T08:28:13.000Z
1601493197032919040,Health authorities on Dec 8 issued two guidelines in tandem to help #COVID19 patients with mild symptoms recover at home and to properly monitor their health with test kits. #FuzhouOnMission https://t.co/UT7GyJah68,2022-12-10T08:25:07.000Z
1601489598798086145,A decrease of 181 cases has been recorded in the active #COVID19 case count in a span of 24 hours@MoHFW_INDIA https://t.co/pTiVMk9ffL,2022-12-10T08:10:49.000Z
1601488595315232768,"#NSTworld New #Omicron subvariants BQ.1 and BQ.1.1 accounted for nearly 70 per cent of new #Covid19 cases in the United States in the latest week, according to estimates released by the US Centres for Disease Control and Prevention (CDC).https://t.co/fDVW0zoI6t",2022-12-10T08:06:49.000Z
1601488165495525376,The @fedex report revealed that the accelerated growth of #ecommerce during the #COVID19 pandemic occurred as consumer concerns over the environment continued to grow. @FedExIndiahttps://t.co/rqaYndj3k2,2022-12-10T08:05:07.000Z
1601487008421093378,"With the reversal of #COVID19 restrictions in many countries throughout #AsiaPacific, commercial services are regaining prominence in global trade.  This could point to a reversal of COVID-19-era consumption patterns. Learn more about trade trends: https://t.co/Xl9TgvgWZF https://t.co/7ZUOxYQBfa",2022-12-10T08:00:31.000Z
1601480626124750850,Grassroots disabled people’s organisations have expressed their frustration at being “shut out” of the Covid public inquiry.#Covid #CovidInquiry #Covid19https://t.co/7tl5YfIo8C,2022-12-10T07:35:09.000Z
1601479344949714944,Effect of COVID-19 worsened inequitable access to health care systems – Minister https://t.co/I8uyFg9eT5 #Health #Covid19 #face #HealthMinister #higherburden https://t.co/1FMkS59lyb,2022-12-10T07:30:04.000Z
1601479327798919168,"A US-based scientist, who previously worked at China's Wuhan lab, claims #Covid19 was a ""man-made virus"" that escaped from the facilityhttps://t.co/CADlHW37B8",2022-12-10T07:30:00.000Z
1601476784830427136,"During #COVID19, apart from medical infrastructure that kept us going in, #Technology also played a vital role in delivering #Justice to the litigants without any hindrance by using #DigitalTechnology in a positive manner: Hon’ble Minister of Law &amp; Justice Shri @KirenRijiju ji https://t.co/j0wMidH6mb",2022-12-10T07:19:54.000Z
1601475552161910786,"The city reported 13 locally transmitted confirmed cases, 259 local asymptomatic infections, three imported confirmed cases and 52 imported asymptomatic infections for Friday, said the #Shanghai Health Commission on Saturday morning. #COVID19 https://t.co/7s5RlwKaXF",2022-12-10T07:15:00.000Z
1601469473252585472,Cambodia recorded 16 new #COVID19 cases this morning https://t.co/bJTUYLKzSI,2022-12-10T06:50:50.000Z
1601468943067226113,@MichiganDOT Cash payments are not accepted from eastbound @MDOT_BWB  #BlueWaterBridge customers during the #COVID19 pandemic. Thank you for your cooperation. #MDOT,2022-12-10T06:48:44.000Z
1601467533676384256,Beijing health authority stops releasing cases by district. Local media report change suggests #China capital has ended releasing infections by district and will only disclose overall reported cases (those tested by PCR officially at #Covid19 test points.) https://t.co/DJcJgbMZpw,2022-12-10T06:43:08.000Z
1601466743888613376,The #COVID19 vaccine of BioNTech will be the first non-Chinese Covid vaccine which will be administered in Chinahttps://t.co/7VhfSYqnE7,2022-12-10T06:40:00.000Z
1601466317353017344,Number of critically-ill patients on rise in India: LocalCircles Study | By @SanjayJog7 https://t.co/h7JuzOBXkr#India #IndiaNews #Health #Viral #COVID19 #Vaccine,2022-12-10T06:38:18.000Z
1601466115187937280,"China reported 13,811 new COVID-19 infections for Dec. 9, of which 3,082 were symptomatic and 10,729 were asymptomatic, the National Health Commission said on Saturday.https://t.co/121jCRyXi3#COVID19 #china https://t.co/LzuNjTRfmc",2022-12-10T06:37:30.000Z
1601463830676008960,"#NYC issues health advisory, mask recommendation over flu, #RSV and #COVID19 'tripledemic' https://t.co/pHt9p8slpj via @gothamist",2022-12-10T06:28:25.000Z
